KPI Name ;Schema;MME Proposed Object Identifier
combocore_cnsgw_sgw_cdrs_generated;SMF;SMF_PDN
combocore_4g_apn_current_sessions;SMF;SMF_APN
combocore_4g_apn_dedicated_bearer_activation_success_rate;SMF;SMF_Bearer
combocore_4g_apn_dedicated_bearers_attempts;SMF;SMF_Bearer
combocore_4g_apn_dedicated_bearer_success;SMF;SMF_Bearer
combocore_4g_apn_dedicated_bearers_failure;SMF;SMF_Bearer
combocore_4g_apn_default_bearer_setup_success_rate;SMF;SMF_Bearer
combocore_4g_apn_default_bearer_setup_attempts;SMF;SMF_Bearer
combocore_4g_apn_default_bearer_setup_success;SMF;SMF_Bearer
combocore_4g_apn_default_bearer_setup_failure;SMF;SMF_Bearer
combocore_4g_tun_sent_creinddatafwdngreq;SMF;SMF_PDN
combocore_ip_utilization;SMF;SMF_IPPOOL
combocore_ipam_consumption;SMF;SMF_IPPOOL
combocore_ipam_total_address;SMF;SMF_IPPOOL
combocore_apn_create_session_request_success_rate;SMF;SMF_APN
combocore_apn_create_session_request_success;SMF;SMF_APN
combocore_apn_create_session_request_failure;SMF;SMF_APN
combocore_apn_create_session_request_attempts;SMF;SMF_APN
combocore_apn_ipv4v6_sessions;SMF;SMF_APN
combocore_4g_apn_total_number_of_active_dedicated_bearers;SMF;SMF_APN
combocore_4g_total_active_default_bearers;SMF;SMF_Bearer
combocore_egtpc_4g_bearer_modification_success_rate;SMF;SMF_Bearer
combocore_egtpc_4g_bearer_modification_attempts;SMF;SMF_Bearer
combocore_egtpc_4g_bearer_modification_success;SMF;SMF_Bearer
combocore_egtpc_4g_bearer_modification_failure;SMF;SMF_Bearer
combocore_egtpc_bearer_update_success_rate;SMF;SMF_Bearer
combocore_ceps_4g_pdn_session_setup;SMF;SMF_APN
combocore_4g_create_bearer_request_success_rate;SMF;SMF_Bearer
combocore_4g_create_bearer_request_attempts;SMF;SMF_Bearer
combocore_4g_create_bearer_request_success;SMF;SMF_Bearer
combocore_4g_create_bearer_request_failure;SMF;SMF_Bearer
combocore_create_bearer_response_denied_contexnotfound;SMF;SMF_Bearer
combocore_create_bearer_response_denied_invalidremotepeerreply;SMF;SMF_Bearer
combocore_create_bearer_response_denied_noresourcesavl;SMF;SMF_Bearer
combocore_create_bearer_response_denied_noresponse;SMF;SMF_Bearer
combocore_create_bearer_response_denied_requestrejected;SMF;SMF_Bearer
combocore_create_bearer_response_denied_svcnotsupported;SMF;SMF_Bearer
combocore_create_bearer_response_denied_uenotresponding;SMF;SMF_APN
combocore_create_bearer_response_denied_unabletopageuesuspend;SMF;SMF_Bearer
combocore_4g_create_session_request_success_rate;SMF;SMF_APN
combocore_4g_pdn_session_create_attempts;SMF;SMF_APN
combocore_4g_pdn_session_create_failures;SMF;SMF_APN
combocore_4g_pdn_session_create_success;SMF;SMF_APN
combocore_4g_create_session_response_denied_apnaccessdenied;SMF;SMF_APN
combocore_4g_create_session_response_denied_apnrsttypeincompatible;SMF;SMF_APN
combocore_4g_create_session_response_denied_conditionaliemissing;SMF;SMF_APN
combocore_4g_create_session_response_denied_contextnotfound;SMF;SMF_APN
combocore_4g_create_session_response_denied_imsinotknown;SMF;SMF_APN
combocore_4g_create_session_response_denied_invalidemsgformat;SMF;SMF_APN
combocore_4g_create_session_response_denied_mandatoryiemissing;SMF;SMF_APN
combocore_4g_create_session_response_denied_nores;SMF;SMF_APN
combocore_4g_create_session_response_denied_prefpdntypeunsupported;SMF;SMF_APN
combocore_create_session_response_denied_requestrejected;SMF;SMF_APN
combocore_4g_create_session_response_servicedenied;SMF;SMF_APN
combocore_4g_create_session_response_denied_userauthfailed;SMF;SMF_APN
combocore_4g_create_session_response_discarded;SMF;SMF_APN
combocore_4g_total_current_pdn_sessions;SMF;SMF_APN
combocore_ip_pool_utilization;SMF;SMF_IPPOOL
combocore_apn_total_number_of_active_ipv4_sessions;SMF;SMF_APN
combocore_apn_total_number_of_active_ipv6_sessions;SMF;SMF_APN
combocore_4g_cnsgw_number_of_bearers_active_qci1;SMF;SMF_Bearer
combocore_4g_cnsgw_number_of_bearers_active_qci5;SMF;SMF_Bearer
combocore_4g_cnsgw_number_of_bearers_active_qci9;SMF;SMF_Bearer
combocore_number_of_bearers_setup_qci9;SMF;SMF_IPPOOL
combocore_number_of_bearers_setup_qci1_expression;SMF;SMF_IPPOOL
combocore_number_of_bearers_setup_qci5_expression;SMF;SMF_IPPOOL
combocore_total_number_ddn_request_received;SMF;SMF_PDN
combocore_pgw_dedicated_bearers_active;SMF;SMF_PDN
combocore_pgw_default_bearers_active;SMF;SMF_PDN
combocore_4g_total_active_bearers_pgw;SMF;SMF_PDN
combocore_port_node_data_packet_received;5GSYSTEM;5GSYSTEM
combocore_port_pod_data_packet_received;5GSYSTEM;5GSYSTEM
combocore_port_node_data_packet_sent;5GSYSTEM;5GSYSTEM
combocore_port_pod_data_packet_sent;5GSYSTEM;5GSYSTEM
combocore_port_node_utilization_downlink;5GSYSTEM;5GSYSTEM
combocore_port_pod_utilization_downlink;5GSYSTEM;5GSYSTEM
combocore_port_node_utilization_uplink;5GSYSTEM;5GSYSTEM
combocore_port_pod_utilization_uplink;5GSYSTEM;5GSYSTEM
combocore_retransmit_session_establishment_request_recvd;SMF;SMF_APN
combocore_retransmit_session_establishment_request_sent;SMF;SMF_APN
combocore_node_network_receive_drop_total;5GSYSTEM;5GSYSTEM
combocore_container_network_receive_packets_dropped_total;5GSYSTEM;5GSYSTEM
combocore_node_network_receive_drops_total;5GSYSTEM;5GSYSTEM
combocore_pod_network_receive_drops_total;5GSYSTEM;5GSYSTEM
combocore_smf_active_pdns_home;SMF;SMF_PDN
combocore_smf_active_pdns_roaming;SMF;SMF_PDN
combocore_smf_active_pdns_visiting;SMF;SMF_PDN
combocore_4g_smf_dedicated_bearer_activation_success_rate;SMF;SMF_PDN
combocore_4g_smf_default_bearer_activation_success_rate;SMF;SMF_PDN
combocore_cnsgw_egtpc_s11_create_session_request_attempts;SMF;SMF_PDN
combocore_cnsgw_egtpc_s11_create_session_request_success;SMF;SMF_PDN
combocore_cnsgw_egtpc_s11_delete_bearer_request_attempts;SMF;SMF_PDN
combocore_cnsgw_egtpc_s11_delete_session_request_attempts;SMF;SMF_PDN
combocore_4g_cnsgw_intra_sgw_handover_success_rate;SMF;SMF_PDN
combocore_total_number_of_pgw_sessions;SMF;SMF_APN
combocore_cnsgw_pdns_sgw_anchored;SMF;SMF_PDN
combocore_pgw_s5_throughput_gbps;SMF;SMF_PDN
combocore_cnsgw_pgw_s8_throughput_gbps;SMF;SMF_PDN
combocore_visiting_pdns_released;SMF;SMF_PDN
combocore_visiting_pdns_setup;SMF;SMF_PDN
combocore_current_active_pgw_dcnr_pdns;SMF;SMF_PDN
combocore_total_number_of_pgw_dcnr_pdns_released;SMF;SMF_PDN
combocore_total_number_of_pgw_dcnr_pdns_setup;SMF;SMF_PDN
combocore_session_establishment_requests_no_response;SMF;SMF_SESSION
combocore_total_current_bearers_sgw;SMF;SMF_SESSION
combocore_sgw_total_current_pdns;SMF;SMF_SESSION
combocore_total_number_sgw_sessions;SMF;SMF_SESSION
combocore_sx_n4_service_call_events_per_second;SMF;SMF_SESSION
combocore_system_calls_active_lte;SMF;SMF_SESSION
combocore_system_calls_connected;SMF;SMF_SESSION
combocore_system_calls_connected_lte;SMF;SMF_SESSION
combocore_total_active_bearers_sgw_anchored;SMF;SMF_SESSION
combocore_16gi_containermemoryusage;5GSYSTEM;5GSYSTEM
combocore_2gi_containermemoryusage;5GSYSTEM;5GSYSTEM
combocore_4gi_containermemoryusage;5GSYSTEM;5GSYSTEM
combocore_container_cpu_10cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_12cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_15cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_16cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_20cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_2cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_3cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_4cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_8cores;5GSYSTEM;5GSYSTEM
combocore_container_cpu_usage;5GSYSTEM;5GSYSTEM
combocore_pod_cpu_usage;5GSYSTEM;5GSYSTEM
combocore_pod_mem_usage;5GSYSTEM;5GSYSTEM
combocore_vm_mem_usage;5GSYSTEM;5GSYSTEM
combocore_vm_cpu_usage;5GSYSTEM;5GSYSTEM
combocore_4g_pdn_est_failures_pcf_create_failure;SMF;SMF_PCF
combocore_4g_pdn_est_failures_pcf_update_failure;SMF;SMF_PCF
combocore_5g_pdu_est_failures_pcf_create_failure;SMF;SMF_PCF
combocore_5g_pdu_est_failures_pcf_update_exchg_failure;SMF;SMF_PCF
combocore_5g_pdu_est_failures_pcf_update_failure;SMF;SMF_PCF
combocore_pcf_policy_create;SMF;SMF_PCF
combocore_pcf_policy_delete;SMF;SMF_PCF
combocore_pcf_policy_update;SMF;SMF_PCF
combocore_pcf_policy_update_notify;SMF;SMF_PCF
combocore_total_pcf_policy_create_attempted;SMF;SMF_PCF
combocore_total_pcf_policy_create_failure;SMF;SMF_PCF
combocore_total_pcf_policy_create_success;SMF;SMF_PCF
combocore_total_pcf_policy_update_attempted;SMF;SMF_PCF
combocore_total_pcf_policy_update_failure;SMF;SMF_PCF
combocore_total_pcf_policy_update_notify_accepted;SMF;SMF_PCF
combocore_total_pcf_policy_update_notify_failure;SMF;SMF_PCF
combocore_total_pcf_policy_update_notify_success;SMF;SMF_PCF
combocore_total_pcf_policy_update_success;SMF;SMF_PCF
combocore_total_pcf_terminate_attempted;SMF;SMF_PCF
combocore_total_pcf_terminate_failure;SMF;SMF_PCF
combocore_total_pcf_terminate_success;SMF;SMF_PCF
combocore_5g_pdu_est_failures_n7_policy_create_response_timeout;SMF;SMF_N7Failure
combocore_5g_pdu_est_failures_n7_policy_update_response_timeout;SMF;SMF_N7Failure
combocore_int_n7_policy_pcc_rule;SMF;SMF_N7
combocore_int_n7_sm_policy_create;SMF;SMF_N7
combocore_int_n7_sm_policy_create_failure;SMF;SMF_N7Failure
combocore_int_n7_sm_policy_create_failure_3xx;SMF;SMF_N7Fail3XX
combocore_int_n7_sm_policy_create_failure_4xx;SMF;SMF_N7Fail4XX
combocore_int_n7_sm_policy_create_failure_5xx;SMF;SMF_N7Fail5XX
combocore_int_n7_sm_policy_create_success;SMF;SMF_N7
combocore_int_n7_sm_policy_delete;SMF;SMF_N7
combocore_int_n7_sm_policy_delete_failure;SMF;SMF_N7Failure
combocore_int_n7_sm_policy_delete_failure_3xx;SMF;SMF_N7Fail3XX
combocore_int_n7_sm_policy_delete_failure_4xx;SMF;SMF_N7Fail4XX
combocore_int_n7_sm_policy_delete_failure_5xx;SMF;SMF_N7Fail5XX
combocore_int_n7_sm_policy_delete_success;SMF;SMF_N7
combocore_int_n7_sm_policy_notify_terminate;SMF;SMF_N7
combocore_int_n7_sm_policy_notify_terminate_failure;SMF;SMF_N7Failure
combocore_int_n7_sm_policy_notify_terminate_failure_3xx;SMF;SMF_N7Fail3XX
combocore_int_n7_sm_policy_notify_terminate_failure_4xx;SMF;SMF_N7Fail4XX
combocore_int_n7_sm_policy_notify_terminate_failure_5xx;SMF;SMF_N7Fail5XX
combocore_int_n7_sm_policy_notify_terminate_success;SMF;SMF_N7
combocore_int_n7_sm_policy_notify_update;SMF;SMF_N7
combocore_int_n7_sm_policy_notify_update_failure;SMF;SMF_N7Failure
combocore_int_n7_sm_policy_notify_update_failure_3xx;SMF;SMF_N7Fail3XX
combocore_int_n7_sm_policy_notify_update_failure_4xx;SMF;SMF_N7Fail4XX
combocore_int_n7_sm_policy_notify_update_failure_5xx;SMF;SMF_N7Fail5XX
combocore_int_n7_sm_policy_notify_update_succes;SMF;SMF_N7
combocore_int_n7_sm_policy_update;SMF;SMF_N7
combocore_int_n7_sm_policy_update_failure;SMF;SMF_N7Failure
combocore_int_n7_sm_policy_update_failure_3xx;SMF;SMF_N7Fail3XX
combocore_int_n7_sm_policy_update_failure_4xx;SMF;SMF_N7Fail4XX
combocore_int_n7_sm_policy_update_failure_5xx;SMF;SMF_N7Fail5XX
combocore_int_n7_sm_policy_update_success;SMF;SMF_N7
combocore_n7_failopen_total;SMF;SMF_N7
combocore_n7_sm_policy_create_failure;SMF;SMF_N7Failure
combocore_n7_sm_policy_create_failure_307;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_create_failure_3xx;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_create_failure_400;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_create_failure_403;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_create_failure_404;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_create_failure_429;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_create_failure_4xx;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_create_failure_500;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_create_failure_501;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_create_failure_502;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_create_failure_503;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_create_failure_504;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_create_failure_5xx;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_create_success;SMF;SMF_N7
combocore_n7_sm_policy_delete_failure;SMF;SMF_N7Failure
combocore_n7_sm_policy_delete_failure_307;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_delete_failure_3xx;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_delete_failure_400;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_delete_failure_403;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_delete_failure_404;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_delete_failure_429;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_delete_failure_4xx;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_delete_failure_500;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_delete_failure_501;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_delete_failure_502;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_delete_failure_503;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_delete_failure_504;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_delete_failure_5xx;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_delete_success;SMF;SMF_N7
combocore_n7_sm_policy_notify_terminate_failure;SMF;SMF_N7Failure
combocore_n7_sm_policy_notify_terminate_failure_307;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_notify_terminate_failure_3xx;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_notify_terminate_failure_400;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_terminate_failure_403;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_terminate_failure_404;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_terminate_failure_429;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_terminate_failure_4xx;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_terminate_failure_500;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_terminate_failure_501;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_terminate_failure_502;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_terminate_failure_503;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_terminate_failure_504;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_terminate_failure_5xx;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_terminate_success;SMF;SMF_N7
combocore_n7_sm_policy_notify_update_failure;SMF;SMF_N7Failure
combocore_n7_sm_policy_notify_update_failure_307;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_notify_update_failure_3xx;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_notify_update_failure_400;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_update_failure_403;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_update_failure_404;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_update_failure_429;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_update_failure_4xx;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_notify_update_failure_500;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_update_failure_501;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_update_failure_502;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_update_failure_503;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_update_failure_504;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_notify_update_failure_5xx;SMF;SMF_N7Fail5XX
