KPI Name ;Schema;MME Proposed Object Identifier
APN_Current_Number_of_Sessions;APN;
APN_Packet_Drop_ratio;APN;
APN_Packet_Drops_TTLExceeded;APN;
APN_Throughput_Mbps;APN;
APN_Total_Number_Of_Active_Dedicated_Bearers;APN;
APN_Total_Number_Of_Active_Default_Bearers;APN;
APN_Total_Number_Of_Active_IPv4_Sessions;APN;
APN_Total_Number_Of_Active_IPv6_Sessions;APN;
CPU0_Memory_Utilization;CARD;
CPU0_Utilization;CARD;
Call_Events_Per_Second;SCHEMA;
Create_Bearer_Response_Denied_ContexNotFound;EGTPC;
Create_Bearer_Response_Denied_InvalidRemotePeerReply;EGTPC;
Create_Bearer_Response_Denied_NOResourcesAvl;EGTPC;
Create_Bearer_Response_Denied_NoResponse;EGTPC;
Create_Bearer_Response_Denied_RequestRejected;EGTPC;
Create_Bearer_Response_Denied_SVCNotSupported;EGTPC;
Create_Bearer_Response_Denied_UENotResponding;EGTPC;
Create_Bearer_Response_Denied_UERefuses;EGTPC;
Create_Bearer_Response_Denied_UnableToPageUESuspend;EGTPC;
Create_Session_Response_Denied_APNAccessDenied;EGTPC;
Create_Session_Response_Denied_APNRstTypeIncompatible;EGTPC;
Create_Session_Response_Denied_ConditionalIEMissing;EGTPC;
Create_Session_Response_Denied_ContextNotFound;EGTPC;
Create_Session_Response_Denied_IMSINotKnown;EGTPC;
Create_Session_Response_Denied_InvalideMsgFormat;EGTPC;
Create_Session_Response_Denied_MandatoryIEMissing;EGTPC;
Create_Session_Response_Denied_NoRes;EGTPC;
Create_Session_Response_Denied_OtherCauses;EGTPC;
Create_Session_Response_Denied_PrefPDNTypeUnsupported;EGTPC;
Create_Session_Response_Denied_RequestRejected;EGTPC;
Create_Session_Response_Denied_Service_denied;EGTPC;
Create_Session_Response_Denied_UserAuthFailed;EGTPC;
Create_Session_Response_Discarded;EGTPC;
Current_NPU_Utilization;CARD;
Current_No_Of_Sessions;SCHEMA;
Data_Volume_Port;PORT;
Diameter_TPS_Value;DIAMETER-TPS;
EGTPC_Bearer_Modification_Success_Rate;EGTPC;
EMM_Attach_Reject_Decode_Failure;MME;MME_Failure
EMM_Attach_Reject_EPS_Non_EPS_Not_Allowed;MME;MME_Failure
EMM_Attach_Reject_EPS_Not_Allowed;MME;MME_Failure
EMM_Attach_Reject_ESM_Failure;MME;MME_Failure
EMM_Attach_Reject_IMEI_Not_Accept;MME;MME_Failure
EMM_Attach_Reject_IMSI_Unknown_HSS;MME;MME_Failure
EMM_Attach_Reject_Implicit_Detach;MME;MME_Failure
EMM_Attach_Reject_Network_Failure;MME;MME_Failure
EMM_Attach_Reject_No_EPS_Service_PLMN;MME;MME_Failure
EMM_Attach_Reject_No_Suitable_Cell_TA;MME;MME_Failure
EMM_Attach_Reject_PLMN_Not_Allowed;MME;MME_Failure
EMM_Attach_Reject_Roaming_Restrict_TA;MME;MME_Failure
EMM_Attach_Reject_TA_Not_Allowed;MME;MME_Failure
EMM_Attach_Reject_illegal_ME;MME;MME_Failure
EMM_Attach_Reject_illegal_UE;MME;MME_Failure
EPS_Conn_Mgmt_Event_NW_Inititated;MME;MME
EPS_Conn_Mgmt_Event_UE_Initiated;MME;MME
EPS_Mobility_Mgmt_X2_Handover;MME;MME
HSS_Update_Location_Success_Rate;HSS;
