Mon Mar 16 19:02:16.636 UTC

Interface                      IP-Address      Status          Protocol Vrf-Name
Loopback0                      unassigned      Up              Up       default 
HundredGigE0/0/0/0             unassigned      Shutdown        Down     default 
HundredGigE0/0/0/1             unassigned      Shutdown        Down     default 
HundredGigE0/0/0/2             unassigned      Shutdown        Down     default 
HundredGigE0/0/0/3             unassigned      Shutdown        Down     default 
TenGigE0/0/0/4                 unassigned      Up              Up       default 
TenGigE0/0/0/4.1099            unassigned      Up              Up       default 
TenGigE0/0/0/4.1100            unassigned      Up              Up       default 
TenGigE0/0/0/4.1103            unassigned      Up              Up       default 
TenGigE0/0/0/4.1104            unassigned      Up              Up       default 
TenGigE0/0/0/4.1109            10.11.9.1       Up              Up       default 
TenGigE0/0/0/5                 unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/6          unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/7          unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/8          unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/9          unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/10         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/11         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/12         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/13         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/14         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/15         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/16         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/17         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/18         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/19         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/20         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/21         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/22         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/23         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/24         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/25         unassigned      Shutdown        Down     default 
TwentyFiveGigE0/0/0/26         unassigned      Shutdown        Down     default 
TenGigE0/0/0/27                unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/28        unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/29        unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/30        unassigned      Shutdown        Down     default 
GigabitEthernet0/0/0/31        unassigned      Shutdown        Down     default 
MgmtEth0/RP0/CPU0/0            10.255.18.156   Up              Up       default 
